,text
136,"Oferta especial
 Hay una tendencia hacia una erradicación negativa del coronavirus.  Estás en confinamiento y tus ingresos son escasos.  Necesita dinero para alimentar a sus familias durante este período de encierro, pero no puede trabajar.  No te preocupes más porque estamos a tu disposición.  Kovish finance le ofrece créditos que van desde 2,000 euros a 800,000 euros a una tasa de 2.5% durante todo el período de pago.  Aproveche el préstamo y 4 meses gratis antes de que comience el reembolso del crédito.  Si lo necesita, no dude en ponerse en contacto conmigo.  Ayudémonos unos a otros contra covid19.
 Contacto: marc.kovish1@gmail.com"
137,Respondan los reclamos ladrones
138,No contestan su teléfono voy esperando como 30 minutos 🤬
139,"También deberian dar o comisión de transferencias,  tenemos cuenta de ahorros y deudas en otros bancos... Seria bueno habilitar 0 comisiones, para poder realizar nuestros pagos"
140,"Igual cobran comisión cuando utilizo los agentes, en el voucher dice cero comisión, pero te cobran por retirar o depositar aparte xq dicen que el banco no les paga la luz y no solo en un agente, esto me sucede en varios agentes !!!!"
141,👍👍👍
142,gracias por la info
143,"@bbva_peru si cambie de operador no hay otra manera de activarlo sin tener que ir a un cajero,"
144,Hola
145,🙌
146,"Con todo eso roban, tengan respeto por sus clientes puntuales"
147,"Es cierto, sólo funciona si es por primera vez, si, cambias de cel tienes q ir a un cajero"
148,"Yo ya tenía mi toquen actualice la app y ahora me pide otra vez el toquen el cual funcionaba de forma automática, ahora intenté sacar otro toquen con el mismo teléfono pero no me llega el mensaje q puedo hacer"
149,"Yo contaba con mi token, actualice la app, y desde ahi ya no puedo realizar ninguna operación. Hoy fui al cajero y me indicaba que mi numero de telefono ya se encontraba registrado, asi llevo desde el mes de enero aproximadamente. Si me podrían ayudar. Gracias"
150,"Quise activar el TOKEn digital por primera vez y nunca me dejó,salía como si ya lo hubiese hecho.Hasta hoy tengo el problema."
151,@dra.dalmaespejo
152,Ya no tiene que afiliar por cajero?
153,Hace más de un mes que sigo los pasos y simplemente se queda bloqueado cuando ingreso el código que me llega x SMS. Pareciera que.no lo lee. Vuelvo.a pedir el código y vuelve a pasarme lo mismo.... que otra solución me podrias dar @bbva_peru
154,Y tampoco me responden los teléfonos. Me pueden ayudar x favor !!!.????
155,hasta el día de hoy no me dan respuesta sobre la solicitud de reprogramación de cuotas de la tarjeta de credito y encima ya me están cobrando penalidad....lo peor es que no existe ninguna aplicación para contactarse con ellos ya que el numero 5950000 no está habilitado...
156,"TENGO PROBLEMAS CON MI TOKEN Y NADIE ME CONTESTA POR NINGUN MEDIO, porfavorrrrre"
157,Yo tambien tengo problenas ...sale k me envian mensaje pero no me llega nada
158,Cambie  de operador  y no puedo mover  mi dinero tambien tengo la targeta blokeada  x accidente  nunca  veo abierto ninguna oficina en huanuco como saco mi dinero
159,👏
160,"Espero que me puedan ayudar, hoy fui a actualizar mi número de celular para activar mi token, pero ya paso horas y aun no puedo cambiar activar mi token digital, porfavor necesito ayuda. Gracias"
161,@roxylso 🙌
162,Hace tiempo que deseo activarlo y no puedo haber si porfavor me ayudan
163,"No he podido activarlo, dice que me envían el código pero no me llega nada."
164,Si cambio de equipo y operador como hago para activar? Espero no sea por el cajero.
165,"Quiero realizar transferencias hace más de 1 semana y tengo respuestas de porqué mi Token digital no funciona ! Sus numeros telefónicos no responden , ni el chat de ayuda.  Que puedo hacer ???"
166,Ta
167,También tengo problemas con el TOKEn digital desde hace tiempo y no lo solucionan.
168,Quierp hacer  compras  intemacionales y no sirve
169,No hay delivery esta publicidad no es muy buena
170,"Hasta ahora no llega la trasferencia interbancaria que hice hace 3 días. @bbva_peru , sus canales están saturados.  Ayuda.!!!!!"
171,❤️👏
172,"Estimados trabajadores del bbva, últimamente estuve satisfecha con el servicio recibido, nunca tuve quejas y encontré buenos trabajadores que siempre me atendían con soluciones justas. Sin embargo en esta terrible pandemia y luego de recibir los dos mil soles de mis aportes de la afp, me siento indignada de no haber podido realizar el retiro, aquí mi condición de residir en el extranjero, siendo claros que las afp s manifestaron (tanto igual que los bcos) dar facilidades a las personas reside tes en el exterior, talvez a diferencia de otras personas, le dejé un poder general, entiendan poder general, dónde además se señala claramente cualquier índole de trámite bancario, consultado esto con un notario público, que incluía retiros, y que ahora uds cuestionen a mi apoderada que por cierto es mi madre, que lo evaluarán y que posiblemente se pague una tasación, (por pensar si me dan el dinero?) Me parece increíblemente injusto. Además que manifestaron que podría recoger el dinero en el exterior. Señores, entiendan que si pedí mi depósito en mi CTA, a sabiendas que mi mamá tenía el poder y siendo asesorada es por algo. Además mi corazón de hija a estimado por conveniente que ella tome el dinero para sus necesidades. Además, he escrito mails tanto a su institución como a la afp, algo que simplemente rebota, tbn a través de mi cuñada y madre me estuve comunicando a los teléfonos de atención al cliente, que a pesar que entiendo debe estar congestionado, he insistido por cerca de 3 días. Aún así sin tener respuesta, tome la decisión de confiar en el instrumento público de carta poder que dará las facilidades del caso, y después de horas de  cola y espera, mi madre sale indignada y casi llorando, manifestando que uds ""evaluaran"" la situación y me darán la respuesta, aún así, indicando (además) que ello posiblemente requerirá un costo?. Costo de que?.. no se pasen!! .. me parece totalmente injusto y falta de empatía y criterio. No voy al bco a que me hagan un favor, mi madre estaba con los documentos y uds lo deben Evaluar?. Espero una respuesta justa. De lo contrario como cualquier persona de a pie, procederé con mi respectiva denuncia, #bbvanotepases"
173,El procedimiento para activarla con el selfie
174,Les deje un SMS privado hace días y no me responden
175,Muy atrasado con selfie.. banbif tiene uan tecnología que le lee y reconoce desde el celular las huellas de los 5dedos..
176,@jojolete_di ya estaaaaaa!!!
177,@gigigarcia7865 @vanessasantospurizaga
178,Yo no tengo afp y ya tengo 1 independencia
179,@mirella.gamarra
180,"Buenos días,  Lamento haberte contactado, acabo de ver tu perfil y pensé que eras la persona adecuada para mí.  Mi nombre es Jeanne Boudreau, actualmente vivo en Francia.  Sufro una enfermedad de cáncer de garganta que ha alcanzado una etapa crítica que me condena a una muerte segura y tengo una suma de € 240.000depositados en una cuenta bancaria en Francia.  Me gustaría hacer una donación a alguien que sea confiable y honesto para que pueda hacer un buen uso de ella.  Soy dueño de una empresa de importación y exportación, perdí a mi esposo hace 3 años, lo que me impresionó mucho, desafortunadamente no tuvimos hijos.  Me gustaría hacer esta donación antes de mi muerte, dado mi estado crítico de salud.  Espero su respuesta, espero que sea positiva.  Espero recibir"
181,"Buenos días, quiero hacer un reclamo público, tengo 2 cuentas FÁCIL y 1 cuenta SUELDO y en el registro para retirar el 25% de AFP señalé una de mis propia cuentas. Sin embargo grande es mi sorpresa que hoy descubro que tengo 4ta y nueva cuenta llamada INDEPENDENCIA. Acabo de llamar al banco y dicen que la AFP pudo encontrar problemas y aperturó esa cuenta temporal usando mi consentimiento. Nunca recibí un correo de la institución bancaria ni de mi AFP. Solo espero que mi dinero no se vea afectado por comisiones, ni por un presunto robo por identidad falsificada. Esta nueva cuenta está en 0.00 soles y estaré a expectativa de su movimiento."
182,Lo puedo hacer si estoy en el extranjero?
183,@gianncarloml miraaaaa
184,"Supuestmente ingresé mi número de teléfono mal y no me enviaron el código cuando les digo por teléfono que me lo envíen o reseteen mi aplicación me dicen que no es posible, qué solución tan barata es que dan sólo para acaparar clientes aclaren ese asunto y ayudar por favor"
185,Me han cobrado 7.50 por transferencia online al mismo banco eso es un robo
186,Nadie contesta por aca
187,"Es necesario activar este procedimiento ya que estoy esperando el depósito según DU 038 para el retiro de los 2000 y hasta ahora no me depositan realice mi trámite el día 29 de May si ya di mi cuenta sueldo no se xq aún no me depositan espero puedan responder mi duda ya que e escrito al face del banco y nada e llamado al banco y tampoco tengo respuesta, en la aplicación actual del banco no está este procedimiento espero su respuesta"
188,Por q aperturan otra cuenta si ya tengo una cuenta con ustedes?? Espero q no se vea afectado con comisiones
189,Estafadores 🤬🤬🤬🤬🤬
190,Aun le falta más servicios como bestcble  gas calidad etc
191,"Momento difícil para todos los peruanos , pero debemos estar más unidos que nunca. 🇵🇪"
192,@bbva_peru no deberían cobrar por transferencia interbancaria como otros bancos
193,@yami.gg24 😍
194,@bbva_peru sería muy bueno su mejoran su app para los nuevos iPhone. Están muy desactualizamos frente a otras bancas móviles
195,"@bbva_peru sería bueno q actualizaran su app, llevo días queriendo realizar una transferencia y se cuelga la app"
196,Y si no tengo para pagar este mes como hago?
197,@bbva_peru cambie de operador y no puedo usar la app 😕
198,Es buenazo 100% práctico
199,"Ufffff me servicio bastante, agua, luz, cable internet, gas 👍"
200,@bbva_peru como puedo reprogramar mi deuda
201,"Si pero si me quedo en casa, me cobras la mora día x día, y prolifera mas el contagio porque sus app y teléfono de servicio al cliente no operan bien, x eso tengo que ir al banco a arriesgarme, gracias"
202,@katherinhuertas
203,@luisevangelista0517
204,Yo quería pagar y me pide un código msm y no tengo
205,"Yo hice un pago móvil me descontaron mi dinero y el pago no se efectuó mi dinero aparecer diferido en retenciones, con quien se comunica uno para que lo liberen"
206,Se puede o no se puede? Ya esta disponible la opción
207,Yo quiero saber por q yo tampoco no tengo disponible cts
208,BBVA
209,"No funciona la app. Dice que aún no está disponle, qué se puede hacer?"
210,Yo era AFP HORIZONTE y no me dan razon a donde se fueron mis aportaciones.
211,@stefv.8 la infoooooooo 😁
212,@xlizaberh 👀 ya puedes gordita
213,Habrá que verificar🔥
214,No se puede internet indica que tu empleador tiene que dar la orden eso es correcto??
215,👍
216,No de puede hacer la transferencia a cuentas propias sale no esta disponible
217,Disculpen señores del BBVA acabo de llegar del cajero automático del mismo BBVA y me sale esta opéracion. NO se puede concretar...y eso que en la misma app del BBVA me sale saldo disponible de cts ...me podrían decir porque
218,@alonsopalomino96 @ronaldfgc @rafaelpb29
219,"Estimados la información que brindan es falsa, fui al cajero y me sale operación no disponible, a pesar de seguir los pasos brindados."
220,No sé puede ni por web ni x cajero
221,"#bbva_ peru he ido a agentes, he tratado de hacer transacción via banca movil y app he ido a cajeros y nada he seguudo los instructivos que ustedes ponen en la web y nada, esto es un burla somos sus clientes pero al parecer para ustedes somos juguetes con que divertirse."
222,Una consulta por que no se puede transferir de la misma banca de internet desde ayer que segun habilitaron no se puede transferir del cts a tu cuenta 😕
223,No está disponible para retirar bbva haga algo
224,No se puede retirar porfavor den solucion
225,"No sale nada, no se puede"
226,Puedo realizar transferencias entre cuentas? @bbva_peru
227,Tambien se puede retirar con targeta de caja huancayo
228,"No está disponible, mentirosos de mierda. Hacen salir por las puras."
229,No se puedeo retirar hoy intente en un cajero y también banca por internet y nada
230,"No sé puede , acabo de ir al cajero hoy 29 de marzo y no sé puede!"
231,Es una estafa mandan mensajes de texto al movil diciendo q ya se puede retirar y nada
232,"Fui hace un rato, y no se puede retirar el cajero indica operación No disponible, Juegan con nuestra necesidad"
233,"Haces el traslado , luego al cajero"
234,😢
235,Perros de m.. que miércoles crees que somos juguetes que chucha
236,Y cuanto conbran de comision
237,Cual es el horario? Se puede retirar por ventanilla ? O solo hay esas opciones?
238,Me sale cuenta bloqueada alguna solución
239,alguien sabe si ya se puede retirar?
240,Lo mejor será ir directo a las ventanillas y que nos den solución.
241,"Los que no tenemos tarjeta alguna del BBVA y nuestra CTS está ahí, debemos acercarnos a ventanilla con el dni"
242,@miguelgalindoelera
243,"Hola, he intentado comunicarme a su call center pero no tengo respuesta ... cómo puedo comunicarme sin ir de manera presencial"
244,Woow muy buena @franciscoluna
245,Felicitaciones @jomirivera muy bien logrado. Se me puso la piel de gallina 👏🏻👏🏻👏🏻👏🏻
246,🇵🇪❤🇵🇪
247,"❤️Juntos si podremos! BBVA, mi banco de toda la vida."
248,Excelente video BBBA👏👏
249,👏👏👏👏👏👏👏
250,Grande !! @franciscoluna 👏👏👏
251,Mañana atienden?
252,Que bueeeena!!!
253,@afalconr
254,El mejor spot!!! 🙌🏼🎉
255,Como es posible que a mi madre le hayan robado dinero de su cuenta y hasta ahora ustedes no hagan Nada? Como volver a confiar en este banco si no puedes dejar tu dinero seguro?
256,🔥🔥🔥
257,Excelente 🔥 @franciscoluna 🎉🎉🎉
258,@franciscoluna  eres lo máximo🔥
259,💯
260,@franciscoluna eres un Trome 💪
261,👏👏👏👏Muy bueno!!!
262,"🤩 Great job passs @franciscoluna ! So proud of you!! (el poquito inglés de mi primer año) En serio, que honra conocerlo!! Un abrazo a la distancia 🙌"
263,Muuy bueno 🔥🙌
264,@franciscoluna 👏 muy bueno!?
265,La APP se ha actualizado el día de ayer y no encuentro LUKITA... dónde está? Cómo hago para transferir??? 😤
266,"Decepcionado de este banco, el libro de reclamaciones, es un formalismo, nunca responde, Me siento estafado..."
267,Atiendan mi reclamo dese hace más de un mes he reclamado que me están cobrando 450 soles por una tarjeta que no tengo hace muchos meses..! Háganse cargo y dejen de robarle a la gente que no tiene pidiendo que paguen cosas que no deben ..!
268,"I really never thought Forex Trading is real, having so much scammers everywhere, I lost so much fortune until I was recommended to @zarina_fx , it was a dream come through for me I must say, it took a while for me to trust anyone again. I know there are  many victims out there, I encourage you to invest with her. She's indeed a honest person and she gives the right Orientation about this trade, I feel so fulfilled meeting her , I started with her least Investment capital  And made good profit in 5 days, I can pay my bills without stress now. If you're looking for financial freedom get in contact with her.
 👇👇👇
@zarina_fx"
269,Ustedes no atienden reclamos ..! Presente el mío porque me piden que pague 400 soles por una tarjeta que no tengo hace meses..! Eso es robo para los peruanos que estamos en crisis.. debería darles vergüenza pretender cobrar por algo que no tenemos.. así hacen campañas para el Peru..! @indecopioficial revise mi caso por favor ..! Ayúdennos a que este banco no se aproveche de los peruanos en pandemia.!
270,Trato más humano señores del BBVA!! Dónde les quedó la solidaridad en estos momentos difíciles para muchos! Quiten las penalidades por retrasos en el pago de deudas si es que dicen ser solidarios
271,Cancelé la única tarjeta que tenía con ustedes y me cobran después de meses por una tarjeta cancelada y sin usar y no atienden los reclamos ..!! La gente se muere de hambre y ustedes nos tratan de esta manera ..! Nos hacen sentir que cualquier nos puede robar y hacer lo que quieran sin que nadie haga algo..! @indecopioficial @jaimedelgadoconsumo @martinvizcarraperu Vean como los bancos abusan de nosotros .!
272,Esta fallando su app?
273,"Feliz estancia en casa

  Es hora de hacer crecer su negocio mientras se queda en casa, trabajar de manera inteligente y sin esfuerzo mientras se sienta en casa. Obtenga su préstamo instantáneo para invertir y pagar facturas a una tasa del 2.5% con NORTION LOAN CONSULTANT.

  Información del contacto

CORREO ELECTRÓNICO: nortionloanconsultant@gmail.com

TELÉFONO: +17815611941 (SOLO TEXTO)

INSTAGRAM: Nortion Loan

TWITTER: @LoanNortion

LINKEDIN: CONSULTOR DE PRESTAMOS DE NORTION

Manténgase Ahorre y mantenga la distancia."
274,"Señores @bbva_peru obligan a sus clientes a realizar la actualización del APP de su banca móvil y, el aplicativo no funciona de forma adecuada. Desde el domingo 9 de agosto no se puede activar el Token Digital impidiendo la realización de las operaciones bancarias con normalidad perjudicando a sus clientes. Me he comunicado con su Banca Telefónica y la solución que brindan es que el cliente vaya a un cajero automático a reiniciar la configuración de sus datos. ¡Es el colmo!, exponen a sus clientes a un posible contagio de #Covid19 por un error cometido de ustedes."
275,"Señores BBVA obligan a sus clientes a realizar la actualización del APP de su banca móvil y, el aplicativo no funciona de forma adecuada. Desde el domingo 9 de agosto no se puede activar el Token Digital impidiendo la realización de las operaciones bancarias con normalidad perjudicando a sus clientes. Me he comunicado con su Banca Telefónica y la solución que brindan es que el cliente vaya a un cajero automático a reiniciar la configuración de sus datos. ¡Es el colmo!, exponen a sus clientes a un posible contagio de #Covid19 por un error suyo."
276,Actualicen su aplicativo @bbva_peru intento activar la huella desde ayer y no funciona 👎🏼
277,ATIENDAN MI RECLAMO .! LO PRESENTÉ EL 24 JUNIO Y NO LO ATIENDEN AÚN Y ME SIGUEN PIDIENDO QUE PAGUE INA DEUDA QUEBNO TENGO ..! HAGANSE CARGO..! DEJEN DE QUERER QUEDARSE CON EL POCO DINERO QUE TENEMOS LOS PERUANOS
278,"no uso mi tarjeta y de pronto sube 100 soles de consumo, consulto mis mvtos a ver si el banco me ha cobrado su gana y nada. así funciona las tarjetas bbva va consumiendo auto 100 soles de la nada y haces 4 meses era de 200 en 200 creo que es hora de ir al banco y armar el cagadon rateros de mrda"
279,Atiendan mi reclamo..! Van a arruinar mi récord crediticio que he cuidado durante años por querer aprovecharse de mí cobrándome una tarjeta que no tengo y que cancelé hace meses.. Desde el 24 de junio no hacen nada ...!!! Dejen de querer aprovecharse  de los peruanos ..!
280,SON EL PEOR BANCO DEL PERUC
281,Por favor  que necesito  para que li familia retire mi tarjeta  yo me encuentro  en el extranjero
282,Señores he mandado muchisimos correos por todas sus plataformas para que me solucionen un tema y nada vivo en el extranjero y necesito por favor de su ayuda
283,Si y uds se colunden con esos delincuentes
284,"Buenos días, tengo ya una semana que hice la solicitud de cobro de mi AFP, el día jueves prima AFP me mandó un correo que el día anterior, o sea, el 15. Ya mi dinero estaba disponible, pero entro a mi cuenta BBVA y no hay nada de dinero, que pasa? Ya han pasado varios dios y necesito de mi dinero, gracias"
285,🇵🇪 La ministra de economia @mariaalvaluperdi anunció su cuenta de Instagram oficial y Twitter 🇵🇪👏 @mariaalvaluperdi
286,"Tengo una tarjeta de crédito con Uds y me amparé a su beneficio “Bbva te cuida” el 02 de abril, en el que anuncian en verde NO PAGAS DURANTE 3 MESES. Sin embargo, el día jueves me llegó mi estado de cuenta con último día de pago el 05 de Mayo. ¿Dónde quedó lo indicado en su publicidad? Se burlan de nosotros al no atendernos por ninguno de sus canales. Definitivamente anularé los servicios que tengo con Uds y otro banco será una mejor opción."
287,No contestan las líneas telefónicas por favor necesito
288,"Hola quería saber cómo puedo eliminar el seguro, de mi tarjeta de cuenta de ahorros que pedi, AYUDA"
289,Como si nos hicieran caso
290,"Que oportuno Sres del bbva, ya que a mi me estafaron hace poco dias mediante un sms enviandome un link, en el cual me pedia mis datos, sin embargo yo llegue a comunicarme con ustedes a los minutos de darme cuenta que  habia sido victima un fraude y ahora quieren que haga cargo de un prestamo de s/ 9500  que yo no realize y una transacción a una persona que no conozco, osea se supone que ustedes deben de velar por sus clientes, no por las puras pinen un número telefonico indicando que debemos de llamar alli si no reconocemos dicha operación. Espero que hagan justo mi reclamo al hacer el extorno de esa tranferencia y cancelen ese préstamo que yo no solicité.  Yo siempre pensé que este era un buen banco, pero veo que me equivoque."
291,"Estimados trabajadores del bbva, últimamente estuve satisfecha con el servicio recibido, nunca tuve quejas y encontré buenos trabajadores que siempre me atendían con soluciones justas. Sin embargo en esta terrible pandemia y luego de recibir los dos mil soles de mis aportes de la afp, me siento indignada de no haber podido realizar el retiro, aquí mi condición de residir en el extranjero, siendo claros que las afp s manifestaron (tanto igual que los bcos) dar facilidades a las personas reside tes en el exterior, talvez a diferencia de otras personas, le dejé un poder general, entiendan poder general, dónde además se señala claramente cualquier índole de trámite bancario, consultado esto con un notario público, que incluía retiros, y que ahora uds cuestionen a mi apoderada que por cierto es mi madre, que lo evaluarán y que posiblemente se pague una tasación, (por pensar si me dan el dinero?) Me parece increíblemente injusto. Además que manifestaron que podría recoger el dinero en el exterior. Señores, entiendan que si pedí mi depósito en mi CTA, a sabiendas que mi mamá tenía el poder y siendo asesorada es por algo. Además mi corazón de hija a estimado por conveniente que ella tome el dinero para sus necesidades. Además, he escrito mails tanto a su institución como a la afp, algo que simplemente rebota, tbn a través de mi cuñada y madre me estuve comunicando a los teléfonos de atención al cliente, que a pesar que entiendo debe estar congestionado, he insistido por cerca de 3 días. Aún así sin tener respuesta, tome la decisión de confiar en el instrumento público de carta poder que dará las facilidades del caso, y después de horas de  cola y espera, mi madre sale indignada y casi llorando, manifestando que uds ""evaluaran"" la situación y me darán la respuesta, aún así, indicando (además) que ello posiblemente requerirá un costo?. Costo de que?.. no se pasen!! .. me parece totalmente injusto y falta de empatía y criterio. No voy al bco a que me hagan un favor, mi madre estaba con los documentos y uds lo deben Evaluar?. Espero una respuesta justa. De lo contrario como cualquier persona de a pie, procederé con mi respectiva denuncia, aún así deba dejar el dinero dentr"
292,"Sres del BBVA podrían dejarme ser tan ineptos  e ineficientes, casi todo los días hace más de 1 año  me llaman del +5115101381 preguntando por una persona que no soy yo, le repito mil veces que no es el número y siguen llamando, a ofrecer tarjetas, tan difícil señales hace sacar un numero de su base de datos Sarta de ineficientes, yo no tengo ningún servicio  con ustedes y no quiero tenerlo, gracias."
293,"Tengan cuidado, hasta los sms figura tu nombre como para hacerte confiar, revisen sus cuentas primero, y si tienen que hacer algún procedimiento directamente de la pág principal o desde la app oficial"
294,@bbva_peru  que necesita  mi familiar para retirar el dinero de los 2 mil del afp si estoy en el extranjero  el dinero esta para retirar en ventanilla
295,"Buenas tardes, he solicitado la reprogramación de deuda por un mes a través de la app pero me sigue saliendo que debo pagar mi deuda del mes este 6/4? No deberían cambiar eso sí lo he reprogramado? 😐"
296,"Buen día, y los que hicimos reprogramación unos días antes del 1 de abril? No tenía información que iban a colocar la reprogramación sin costo y lo hice el 27 de marzo???"
297,cual es la web para poder reprogramar mis pagos.. saludos
298,"@bbva_peru yo ya pagué mi deuda correspondiente pero incrementen mi línea de crédito, no me traten mal!!"
299,"Si esta la opción de reprogramacion, actualicen el app"
300,Por q no aplica el congelamiento de los intereses a los creditos hipotecarios como los demas bancos si lo estan haciendo. No es un favor hay q mojarnos todos 😠😠😠
301,@rxndeeeee
